statename,shortname,country_id,statecode,zone,status
Jammu & Kashmir,JK,11,1,1,1
Himachal Pradesh,HP,11,2,1,1
Punjab,PB,11,3,1,1
Chandigarh,CH,11,4,1,1
Uttarakhand,UK,11,5,1,1
Haryana,HR,11,6,1,1
Delhi,DL,11,7,1,1
Rajasthan,RJ,11,8,,1
Uttar Pradesh,UP,11,9,,1
Bihar,BR,11,10,,1
Sikkim,SK,11,11,,1
Arunachal Pradesh,AR,11,12,,1
Nagaland,NL,11,13,,1
Manipur,MN,11,14,,1
Mizoram,MZ,11,15,,1
Tripura,TR,11,16,,1
Meghalaya,ML,11,17,,1
Assam,AS,11,18,,1
West Bengal,WB,11,19,,1
Jharkhand,JH,11,20,,1
Odisha,OR,11,21,,1
Chhattisgarh,CG,11,22,,1
Madhya Pradesh,MP,11,23,,1
Gujarat,GJ,11,24,,1
Daman & Diu,DD,11,25,,1
Dadra & Nagar Haveli,DH,11,26,,1
Maharashtra,MH,11,27,,1
Karnataka,KA,11,29,,1
Goa,GA,11,30,,1
Lakshadweep,LD,11,31,,1
Kerala,KL,11,32,,1
Tamil Nadu,TN,11,33,,1
Pondicherry,PY,11,34,,1
Andaman & Nicobar Islands,AN,11,35,,1
Telangana,TG,11,36,,1
Andhra Pradesh,AP,11,37,,1
LADAKH,LA,11,38,,1
OTHER COUNTRIES,OC,11,96,,
Other Territory,OT,11,97,,
OTHER COUNTRIES,CJ,11,99,,
