Code,Name
Kgs,Kilograms
Ltr,Litres
mm,Millimeter
mL,Millilitre
cSt,Centi Stokes
min,Minute
sec,Second
ppm,Parts Per Million
mg of KOH/g,Miligram of KOH per Gram
°C,Centigrade
°F,Fahrenheit
mmHg,MilliMeters of Mercury
atm,Atmospheric pressure
µ,microns
MJ/kg,Mega jule per Kilogram
M,Molarity
N,Normality
g,Grams
g/mL,Gram Per MiliLiter
NAS,NAS
Abs,Absorbance
wt%,Weight Percent
mg/kg,Milligram Per Kilogram
nm,Nanometer
mass %,Mass Percent
vol %,Volume Percent
inch,Inches
µm,Micrometer
mm²/s,mm²/s
Abs/0.1mm,Abs/0.1mm
Abs/cm,Absorption per Cm
%mass,%mass
gm/cc,gm/cc
Kcal/gm,Kilo Calories per Gram
PPM (mg/kg),Parts Per Million mg/kg
ppm (mg/ltr),Parts Per Million (mg/Ltr)
ml/min,ml/min
cP,cP
-,-
%,PERCENT
KCal/Kg,KCal/Kg
mPa.s,mPa.s
ΔE,Change in enthaply
kg/m³,kg/m³
s,Second
g/m³,g/m³
